part_index,part_name,group,volume,surface_area,edge_length,faces,edges,vertices,bbox_max,bbox_mid,bbox_min,moment_max,moment_mid,moment_min,normalized_step
67,part_0067,13,1010.5795799282389,1083.8097297711,2218.3272611054067,128,378,252,15.999999999999998,15.945665369869094,7.000000000000012,32821.865635595495,20537.4661038973,20537.466101112164,normalized_parts\part_0067.step
68,part_0068,14,4491.755174578524,3840.629137136908,2253.954340170468,52,132,88,35.0,35.0,17.5,803913.8681842571,494981.6450194193,494981.6446460401,normalized_parts\part_0068.step
69,part_0069,15,188.84936845425864,249.52174904872277,316.76955657881973,26,58,33,12.0,7.530000000000003,7.530000000000003,2948.914968715624,2948.9149678561653,682.011509294836,normalized_parts\part_0069.step
70,part_0070,15,188.84936845425858,249.52174904872277,316.76955657881973,26,58,33,12.0,7.530000000000004,7.530000000000001,2948.9149687156223,2948.9149678561644,682.0115092948362,normalized_parts\part_0070.step
71,part_0071,15,188.8493684542586,249.52174904872277,316.76955657881973,26,58,33,12.0,7.530000000000005,7.530000000000003,2948.9149687156214,2948.9149678561635,682.011509294836,normalized_parts\part_0071.step
72,part_0072,16,14681.77346820341,14516.23341225585,6863.3841594594,171,423,279,80.0000002,80.0000002,10.000000100000001,10991638.557759529,5816465.254273761,5550317.455577115,normalized_parts\part_0072.step
73,part_0073,17,2304.1814968213494,3857.3259998938875,971.7273519984766,6,12,8,53.00000000000001,53.00000000000001,1.3000000000000007,968116.2570238457,484382.63472788676,484382.6334175635,normalized_parts\part_0073.step
74,part_0074,18,55.12658422918143,165.85743496761017,229.20983892796596,18,36,24,6.142463348035698,3.575074880081342,3.3000000000000007,240.97995705204386,238.34189411721843,122.08858759839495,normalized_parts\part_0074.step
75,part_0075,19,26.12731063209195,124.88890838410434,225.0180829255351,23,48,32,5.040454455810137,3.3000000000000007,2.8763462927177414,93.3701533197549,82.55126175165954,47.034698048324145,normalized_parts\part_0075.step
76,part_0076,20,26.127310632091955,124.88890838410434,225.0180829255351,23,48,32,5.040454455810136,3.3000000000000007,2.8763462927177414,93.3701533197553,82.55126175163593,47.034698048305955,normalized_parts\part_0076.step
77,part_0077,21,15.619956855627622,47.07285732514714,144.03385780788946,25,56,33,4.6,3.0000002000000023,3.0000000999999994,31.752608028188497,31.752608007043783,14.003583182300604,normalized_parts\part_0077.step
78,part_0078,21,15.619956855627622,47.07285732514714,144.03385780788952,25,56,33,4.6,3.000000199999999,3.0,31.752608028188536,31.752608007043815,14.003583182300606,normalized_parts\part_0078.step
79,part_0079,21,15.619956855627622,47.07285732514714,144.03385780788946,25,56,33,4.6,3.0000002000000023,2.9999999999999982,31.752608028188533,31.752608007043833,14.00358318230061,normalized_parts\part_0079.step
80,part_0080,21,15.619956855627615,47.07285732514714,144.03385780788946,25,56,33,4.6,3.000000100000001,3.0000000999999994,31.752608028188533,31.752608007043804,14.003583182300586,normalized_parts\part_0080.step
81,part_0081,21,15.61995685562762,47.07285732514714,144.03385780788946,25,56,33,4.6,3.0000002000000023,3.0000000999999994,31.752608028188533,31.75260800704382,14.003583182300606,normalized_parts\part_0081.step
82,part_0082,21,15.619956855627626,47.07285732514714,144.03385780788946,25,56,33,4.6,3.000000100000001,3.0000000999999994,31.75260802818858,31.75260800704387,14.003583182300606,normalized_parts\part_0082.step
83,part_0083,21,15.61995685562762,47.07285732514714,144.03385780788946,25,56,33,4.6,3.0000002000000023,2.9999999999999982,31.75260802818851,31.75260800704381,14.003583182300607,normalized_parts\part_0083.step
84,part_0084,21,15.619956855627624,47.07285732514714,144.0338578078895,25,56,33,4.6,3.0000002000000006,3.000000100000001,31.752608028188543,31.752608007043836,14.003583182300595,normalized_parts\part_0084.step
