part_a,part_b,similarity,distance,topology_distance,geometry_distance,shape_distance,size_distance,size_gate_failed,same_group
54,55,0.9999999999991677,8.323622942793239e-13,0.0,1.720653475211934e-14,4.139489098720084e-12,1.0856056485150527e-15,False,False
24,32,0.9999999999991628,8.372528067551463e-13,0.0,1.634689197901243e-15,4.184060500953164e-12,2.1356176692099458e-16,False,False
29,37,0.9999999999991619,8.381331404492679e-13,0.0,1.730931420413736e-14,4.167961250656563e-12,1.4237451128066265e-15,False,True
43,51,0.9999999999991617,8.383034415435974e-13,0.0,1.5288322782721885e-14,4.172179894862231e-12,3.0254583647140887e-16,False,True
31,48,0.9999999999991604,8.395359504969927e-13,0.0,1.0375198567749393e-14,4.1837363787137e-12,1.2991674154360449e-15,False,True
35,57,0.9999999999991577,8.423239538603858e-13,0.0,4.3866804559962726e-15,4.204828352909543e-12,1.7440877631881166e-15,False,False
25,59,0.9999999999991556,8.444478514927755e-13,0.0,3.4288966057560214e-15,4.217299103795487e-12,8.720438815940599e-16,False,True
29,52,0.9999999999991495,8.505202515628083e-13,0.0,1.1953791816386617e-14,4.236938247080199e-12,9.610279511444738e-16,False,True
21,34,0.9999999999991487,8.513233761568672e-13,0.0,1.163751741844183e-14,4.241442646320953e-12,8.364502537738937e-16,False,False
31,40,0.9999999999991486,8.514267279268165e-13,0.0,2.201821665468809e-14,4.229157050061015e-12,6.050916729428171e-16,False,True
31,44,0.9999999999991457,8.542652791981234e-13,0.0,1.173893077860814e-14,4.2559052663331334e-12,9.966215789646395e-16,False,False
47,55,0.999999999999142,8.579767673338102e-13,0.0,2.2681412047272912e-14,4.260637781710978e-12,1.1923865319755502e-15,False,True
29,56,0.9999999999991411,8.588889770254187e-13,0.0,7.092889453305676e-15,4.285285125880944e-12,3.915299060218236e-16,False,True
31,39,0.9999999999991405,8.595344202391107e-13,0.0,3.4242537736414795e-15,4.292590927352548e-12,1.0678088346049705e-15,False,True
23,40,0.9999999999991398,8.60245364854572e-13,0.0,2.3669616228993738e-14,4.271412894609264e-12,3.0254583647140906e-16,False,True
33,41,0.9999999999991263,8.737136562397964e-13,0.0,1.3219690227985404e-14,4.351709978153186e-12,4.449203477520721e-16,False,True
27,57,0.9999999999991261,8.738983569295533e-13,0.0,1.0209226167788456e-14,4.3554889241678024e-12,1.6551036936377125e-15,False,False
32,47,0.9999999999991208,8.791588837344158e-13,0.0,1.496268053424756e-14,4.376744030133023e-12,4.627171616621552e-16,False,False
41,53,0.9999999999991176,8.82368753433982e-13,0.0,1.2416617069758436e-14,4.3961761721179535e-12,1.957649530109116e-16,False,False
39,44,0.9999999999991084,8.916431902374357e-13,0.0,8.619924099607245e-15,4.447334265179209e-12,1.4237451128066303e-16,False,False
31,58,0.9999999999991064,8.936016325635821e-13,0.0,1.3977473490796716e-15,4.466034069254207e-12,3.025458364714091e-16,False,True
27,38,0.9999999999991058,8.942017942170633e-13,0.0,2.030015848047424e-14,4.444392445214496e-12,1.6551036936377121e-15,False,True
51,56,0.9999999999991052,8.948311174521892e-13,0.0,2.8350051114577877e-15,4.469744236193507e-12,1.1567929041553892e-15,False,True
34,41,0.9999999999991047,8.952835383862859e-13,0.0,5.402051292313463e-15,4.4690911805674374e-12,7.65262998133565e-16,False,False
40,42,0.9999999999991003,8.996824275342225e-13,0.0,1.2867769949404508e-14,4.481713435154459e-12,8.186534398638139e-16,False,True
21,33,0.9999999999990979,9.020291521265419e-13,0.0,1.9455156354113357e-14,4.485479777318821e-12,4.627171616621546e-16,False,True
